,Explained Variance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Dimension 17,0.0043,-0.0705,-0.2314,0.0798,-0.206,-0.1233,0.0345,0.0653,0.0653,-0.1374,0.0653,0.0357,0.0487,0.2759,0.0603,-0.0114,-0.1415,0.0178,0.4965,-0.0304,0.2669,-0.0786,-0.1785,0.1693,-0.1394,0.08,-0.1049,-0.5226,-0.0656,0.0531,0.0518,0.0324,-0.1688,-0.0779
Dimension 18,0.0042,-0.0242,-0.0103,0.0584,0.0183,0.1183,-0.103,0.006,0.0144,0.133,0.0144,0.0317,-0.059,-0.2082,-0.0483,-0.0548,0.1383,-0.007,-0.0723,-0.308,0.3876,0.0369,0.0734,-0.0337,0.0223,0.539,-0.4758,0.0442,0.108,0.265,-0.0186,-0.1234,0.0669,0.0314
Dimension 19,0.004,-0.0563,-0.0276,0.0858,-0.2542,0.031,-0.1629,0.0198,0.0252,0.0342,0.0252,0.0651,-0.1327,-0.1363,-0.0325,-0.0815,0.0347,-0.0116,-0.092,0.1667,0.7389,-0.0022,0.1625,-0.0617,0.0518,-0.2825,0.2961,0.0464,-0.055,-0.1599,-0.0427,0.0538,0.1601,0.0232
Dimension 20,0.0033,0.002,-0.0438,0.0249,-0.2243,0.3134,-0.0825,0.0676,0.0701,0.3435,0.0701,0.0901,0.0087,-0.543,-0.0528,-0.012,0.3443,0.0043,0.2409,0.0601,-0.2228,0.0685,-0.1821,0.0514,-0.0254,-0.0695,0.0812,-0.1808,-0.1394,-0.0158,0.0424,0.0703,-0.2064,0.1403
Dimension 21,0.0032,0.0203,-0.0323,0.085,-0.1523,-0.022,0.0002,0.0101,0.0523,-0.0207,0.0523,0.0385,0.0202,-0.0641,-0.1133,-0.264,-0.0116,-0.0121,0.1249,-0.2152,-0.11,-0.0211,0.0491,-0.0045,-0.0399,-0.1092,0.0988,-0.0412,0.8301,-0.2066,0.0412,-0.1867,0.0469,0.0222
Dimension 22,0.0021,0.0172,-0.0862,0.0042,0.1234,-0.1304,-0.0465,-0.0428,-0.0281,-0.1389,-0.0281,0.068,-0.3447,-0.187,0.2346,-0.6533,-0.135,0.0185,0.0729,0.0288,-0.1625,-0.0235,0.1277,0.0406,0.3566,0.0305,0.0046,-0.1621,-0.195,0.0748,0.0415,-0.0475,0.1265,0.086
Dimension 23,0.0018,0.0172,-0.015,-0.0311,0.0895,0.1513,0.113,-0.0115,-0.0046,0.1877,-0.0046,0.1157,0.0303,0.349,-0.7058,-0.3825,0.2158,0.0031,-0.0038,0.0406,-0.0303,-0.1028,0.0829,-0.0286,-0.0352,-0.0108,0.0106,-0.0704,-0.1682,0.0317,0.0229,0.0032,0.0959,-0.1613
Dimension 24,0.0015,0.0128,-0.0249,0.0262,-0.0622,0.012,0.0096,0.0016,-0.0193,0.0135,-0.0193,0.0408,-0.4498,0.1261,-0.2481,0.3894,0.014,0.0045,0.0548,-0.0361,-0.0091,-0.0132,-0.1501,0.014,0.6988,0.0155,0.0038,-0.0227,0.1297,-0.0268,0.0197,0.0308,-0.1491,-0.0515
Dimension 25,0.0006,-0.004,-0.1064,0.0002,-0.034,-0.4433,0.0062,0.0018,0.0107,0.0132,0.0107,-0.0485,0.0061,-0.0256,0.1207,0.0399,0.5565,-0.0044,-0.1114,-0.0041,-0.0201,-0.6485,0.0085,0.1605,0.0158,0.0025,-0.0023,0.0343,0.015,-0.0028,-0.0218,0.0037,0.0073,-0.0128
Dimension 26,0.0005,-0.0148,-0.2424,0.0197,-0.043,0.5461,0.0085,0.0242,-0.0088,0.1074,-0.0088,-0.0332,0.0049,-0.0076,0.0693,0.0098,-0.4152,-0.0081,-0.2122,-0.0028,-0.0329,-0.5514,0.0088,0.3104,0.0085,0.0019,-0.0023,0.0445,0.0239,0.0002,0.0103,0.0052,0.0127,-0.0123
Dimension 27,0.0004,0.0112,0.5621,0.0004,0.0967,0.1608,0.0056,0.0081,-0.0299,0.0506,-0.0299,-0.0422,-0.0364,-0.0018,0.0996,0.0007,-0.0828,0.0094,0.3819,0.0024,0.05,-0.4421,0.0013,-0.4934,0.0175,-0.0037,0.004,-0.0494,-0.0021,0.0046,-0.179,-0.042,0.0073,-0.0203
Dimension 28,0.0002,-0.3784,0.5277,0.0087,-0.035,-0.0234,0.0007,0.0147,-0.0029,-0.0091,-0.0029,0.0206,-0.018,0.0117,-0.039,-0.0946,0.005,0.0032,-0.0564,-0.0022,0.0078,0.0931,-0.0509,0.6009,0.0238,0.0018,-0.0026,-0.0433,0.0301,-0.0037,-0.4285,0.0132,-0.0463,-0.005
Dimension 29,0.0,0.494,-0.152,-0.0035,-0.0149,0.0127,-0.0004,-0.5025,0.2295,-0.022,0.2295,0.006,0.005,-0.0052,-0.0193,0.0118,-0.0118,-0.0002,0.0522,0.0003,0.0022,0.0257,0.0546,0.0318,0.0027,0.0035,-0.0038,0.0047,-0.0159,0.0009,-0.6014,0.011,-0.062,-0.0009
Dimension 30,0.0,-0.379,0.142,-0.0049,0.0012,0.0321,-0.0003,-0.6745,0.3006,-0.0272,0.3006,0.0006,-0.0037,-0.0012,0.0053,0.0256,-0.0052,0.0005,-0.035,0.0036,-0.0007,-0.0524,-0.0294,-0.0225,0.0055,-0.0013,-0.0021,-0.0031,-0.0202,0.004,0.4382,-0.0013,0.01,-0.002
Dimension 31,0.0,0.0524,-0.0202,0.0001,-0.0027,0.006,-0.0036,-0.0228,0.0102,-0.0043,0.0102,-0.0017,0.0001,-0.0198,0.0001,0.0033,0.009,0.0001,0.006,0.0001,-0.0019,0.0084,-0.7057,0.0031,0.0003,-0.0002,-0.0003,0.0009,0.0007,-0.0003,-0.0599,0.002,0.7027,0.0048
Dimension 32,0.0,0.0027,-0.0005,-0.0001,0.0,0.4537,-0.0,0.0335,-0.0143,-0.8023,-0.0143,0.0003,-0.0,0.0006,0.0013,-0.0003,0.3858,0.0,0.0004,0.0001,0.0002,0.0046,0.0063,0.0002,-0.0001,-0.0001,-0.0001,-0.0002,-0.0008,0.0001,-0.0036,0.0002,-0.0064,0.0002
Dimension 33,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7071,-0.0,-0.7071,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
